Month,County,Fatalities,Events
2015-11,Machakos,0.0,0.0
2015-11,Makueni,0.0,0.0
2015-11,Mandera,0.0,0.0
2015-11,Marsabit,0.0,1.0
2015-11,Meru,0.0,1.0
2015-11,Migori,0.0,1.0
2015-11,Mombasa,0.0,1.0
2015-11,Muranga,0.0,0.0
2015-11,Nairobi,0.0,2.0
2015-11,Nakuru,0.0,0.0
2015-11,Nandi,0.0,0.0
2015-11,Narok,0.0,1.0
2015-11,Nyamira,0.0,0.0
2015-11,Nyandarua,0.0,0.0
2015-11,Nyeri,3.0,1.0
2015-11,Samburu,0.0,0.0
2015-11,Siaya,0.0,0.0
2015-11,Taita Taveta,0.0,0.0
2015-11,Tana River,0.0,0.0
2015-11,Tharaka-Nithi,0.0,0.0
2015-11,Trans Nzoia,0.0,0.0
2015-11,Turkana,0.0,0.0
2015-11,Uasin Gishu,0.0,1.0
2015-11,Vihiga,0.0,0.0
2015-11,Wajir,0.0,1.0
2015-11,West Pokot,0.0,0.0
2015-12,Baringo,0.0,0.0
2015-12,Bomet,0.0,0.0
2015-12,Bungoma,0.0,0.0
2015-12,Busia,0.0,0.0
2015-12,Elgeyo Marakwet,0.0,0.0
2015-12,Embu,0.0,1.0
2015-12,Garissa,0.0,1.0
2015-12,Homa Bay,0.0,0.0
2015-12,Isiolo,0.0,0.0
2015-12,Kajiado,0.0,0.0
2015-12,Kakamega,0.0,0.0
2015-12,Kericho,0.0,0.0
2015-12,Kiambu,0.0,0.0
2015-12,Kilifi,0.0,0.0
2015-12,Kirinyaga,0.0,1.0
2015-12,Kisii,0.0,0.0
2015-12,Kisumu,5.0,2.0
2015-12,Kitui,0.0,0.0
2015-12,Kwale,0.0,0.0
2015-12,Laikipia,0.0,0.0
2015-12,Lamu,13.0,4.0
2015-12,Machakos,2.0,1.0
2015-12,Makueni,0.0,0.0
2015-12,Mandera,21.0,8.0
2015-12,Marsabit,0.0,0.0
2015-12,Meru,0.0,0.0
2015-12,Migori,0.0,0.0
2015-12,Mombasa,0.0,1.0
2015-12,Muranga,0.0,0.0
2015-12,Nairobi,0.0,2.0
2015-12,Nakuru,0.0,1.0
2015-12,Nandi,0.0,0.0
2015-12,Narok,5.0,4.0
2015-12,Nyamira,0.0,0.0
2015-12,Nyandarua,0.0,0.0
2015-12,Nyeri,0.0,0.0
2015-12,Samburu,0.0,0.0
2015-12,Siaya,0.0,0.0
2015-12,Taita Taveta,0.0,0.0
2015-12,Tana River,0.0,0.0
2015-12,Tharaka-Nithi,0.0,0.0
2015-12,Trans Nzoia,0.0,0.0
2015-12,Turkana,0.0,0.0
2015-12,Uasin Gishu,0.0,0.0
2015-12,Vihiga,0.0,0.0
2015-12,Wajir,0.0,0.0
2015-12,West Pokot,0.0,0.0
2016-01,Baringo,4.0,2.0
2016-01,Bomet,0.0,0.0
2016-01,Bungoma,0.0,0.0
2016-01,Busia,0.0,0.0
2016-01,Elgeyo Marakwet,0.0,0.0
2016-01,Embu,0.0,0.0
2016-01,Garissa,4.0,1.0
2016-01,Homa Bay,0.0,0.0
2016-01,Isiolo,3.0,1.0
2016-01,Kajiado,0.0,0.0
2016-01,Kakamega,0.0,0.0
2016-01,Kericho,0.0,0.0
2016-01,Kiambu,0.0,0.0
2016-01,Kilifi,4.0,1.0
2016-01,Kirinyaga,0.0,0.0
2016-01,Kisii,0.0,0.0
2016-01,Kisumu,0.0,0.0
2016-01,Kitui,0.0,0.0
2016-01,Kwale,0.0,1.0
2016-01,Laikipia,0.0,1.0
2016-01,Lamu,9.0,3.0
2016-01,Machakos,0.0,0.0
2016-01,Makueni,0.0,0.0
2016-01,Mandera,0.0,0.0
2016-01,Marsabit,0.0,0.0
2016-01,Meru,0.0,1.0
2016-01,Migori,0.0,0.0
2016-01,Mombasa,0.0,1.0
2016-01,Muranga,0.0,0.0
2016-01,Nairobi,0.0,2.0
2016-01,Nakuru,0.0,0.0
2016-01,Nandi,0.0,0.0
2016-01,Narok,0.0,0.0
2016-01,Nyamira,0.0,0.0
2016-01,Nyandarua,0.0,0.0
2016-01,Nyeri,0.0,0.0
2016-01,Samburu,0.0,0.0
2016-01,Siaya,0.0,0.0
2016-01,Taita Taveta,0.0,0.0
2016-01,Tana River,0.0,0.0
2016-01,Tharaka-Nithi,0.0,1.0
2016-01,Trans Nzoia,0.0,0.0
2016-01,Turkana,0.0,0.0
2016-01,Uasin Gishu,0.0,0.0
2016-01,Vihiga,0.0,0.0
2016-01,Wajir,0.0,0.0
2016-01,West Pokot,0.0,0.0
2016-02,Baringo,0.0,0.0
2016-02,Bomet,0.0,0.0
2016-02,Bungoma,0.0,0.0
2016-02,Busia,0.0,0.0
2016-02,Elgeyo Marakwet,0.0,0.0
2016-02,Embu,0.0,0.0
2016-02,Garissa,0.0,0.0
2016-02,Homa Bay,0.0,0.0
2016-02,Isiolo,0.0,0.0
2016-02,Kajiado,0.0,0.0
2016-02,Kakamega,0.0,0.0
2016-02,Kericho,0.0,0.0
2016-02,Kiambu,0.0,0.0
2016-02,Kilifi,0.0,0.0
2016-02,Kirinyaga,0.0,0.0
2016-02,Kisii,0.0,0.0
2016-02,Kisumu,0.0,0.0
2016-02,Kitui,0.0,0.0
2016-02,Kwale,0.0,0.0
2016-02,Laikipia,0.0,0.0
2016-02,Lamu,0.0,0.0
2016-02,Machakos,0.0,0.0
2016-02,Makueni,0.0,0.0
2016-02,Mandera,0.0,0.0
2016-02,Marsabit,0.0,0.0
2016-02,Meru,0.0,0.0
2016-02,Migori,0.0,0.0
2016-02,Mombasa,0.0,0.0
2016-02,Muranga,0.0,0.0
2016-02,Nairobi,3.0,3.0
2016-02,Nakuru,0.0,1.0
2016-02,Nandi,0.0,0.0
2016-02,Narok,0.0,2.0
2016-02,Nyamira,0.0,0.0
2016-02,Nyandarua,0.0,0.0
2016-02,Nyeri,0.0,0.0
2016-02,Samburu,0.0,0.0
2016-02,Siaya,0.0,0.0
2016-02,Taita Taveta,0.0,0.0
2016-02,Tana River,0.0,0.0
2016-02,Tharaka-Nithi,0.0,1.0
2016-02,Trans Nzoia,0.0,0.0
2016-02,Turkana,0.0,0.0
2016-02,Uasin Gishu,0.0,0.0
2016-02,Vihiga,0.0,0.0
2016-02,Wajir,0.0,0.0
2016-02,West Pokot,0.0,0.0
2016-03,Baringo,0.0,0.0
2016-03,Bomet,0.0,0.0
2016-03,Bungoma,0.0,0.0
2016-03,Busia,0.0,0.0
2016-03,Elgeyo Marakwet,0.0,0.0
2016-03,Embu,0.0,1.0
2016-03,Garissa,0.0,0.0
2016-03,Homa Bay,0.0,0.0
2016-03,Isiolo,0.0,0.0
2016-03,Kajiado,0.0,0.0
2016-03,Kakamega,0.0,0.0
2016-03,Kericho,0.0,1.0
2016-03,Kiambu,0.0,1.0
2016-03,Kilifi,0.0,1.0
2016-03,Kirinyaga,0.0,0.0
2016-03,Kisii,0.0,0.0
2016-03,Kisumu,0.0,0.0
2016-03,Kitui,0.0,0.0
2016-03,Kwale,0.0,0.0
2016-03,Laikipia,0.0,0.0
2016-03,Lamu,0.0,0.0
2016-03,Machakos,0.0,0.0
2016-03,Makueni,0.0,0.0
2016-03,Mandera,0.0,0.0
2016-03,Marsabit,0.0,0.0
2016-03,Meru,0.0,0.0
2016-03,Migori,0.0,0.0
2016-03,Mombasa,0.0,1.0
2016-03,Muranga,0.0,0.0
2016-03,Nairobi,1.0,4.0
2016-03,Nakuru,0.0,1.0
2016-03,Nandi,0.0,0.0
2016-03,Narok,0.0,0.0
2016-03,Nyamira,0.0,0.0
2016-03,Nyandarua,0.0,1.0
2016-03,Nyeri,0.0,0.0
2016-03,Samburu,0.0,1.0
2016-03,Siaya,0.0,0.0
